instruction,input,output
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 433 Jill Springs, New Roberttown, IL 30996.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a pothole near 386 Shane Harbors, Port Lindachester, KY 20880.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a suspicious person near 16155 Roman Stream Suite 816, New Kellystad, ID 92850.",Thank you for reporting the suspicious person. We've logged the location. Do not approach. Report immediately with as much detail as possible.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 1316 Chavez Village, Franciscostad, TN 35494.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 283 Steven Groves, Lake Mark, WI 07832.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a gunshot near 6413 Lewis Parks, Wilkersonmouth, KS 18802.",Thank you for reporting the gunshot. We've logged the location. Shelter in place and avoid the area. Call 911 if you are in immediate danger.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 969 Cox Dam Suite 101, Lake Ernest, NE 78673.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a loud noise near 784 Erin Crescent Suite 514, Mooretown, VA 35023.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near Unit 2814 Box 8932, DPO AA 21675.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 570 Sarah Wells, Johnbury, OK 10823.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a broken traffic signal near 82278 Joseph Well Suite 383, Raymondstad, NC 59678.",Thank you for reporting the broken traffic signal. We've logged the location. Treat intersections as four-way stops and proceed with caution.
Report the incident with appropriate safety tip.,"I noticed a pothole near 50983 Adrian Station, East Carloston, MA 09788.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a pothole near 738 Jennifer Ports Suite 376, North Collin, MI 56020.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
Report the incident with appropriate safety tip.,"I noticed a streetlight outage near 106 Mcbride Coves, East James, DC 55797.",Thank you for reporting the streetlight outage. We've logged the location. Be cautious walking or driving in poorly lit areas.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 17810 Tanya Terrace Apt. 267, Lewisfurt, AR 22080.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a vandalism near 7468 Moore Hill Apt. 098, Lake Leeton, NJ 66410.",Thank you for reporting the vandalism. We've logged the location. Avoid touching or disturbing the scene. Report to authorities if safe.
Report the incident with appropriate safety tip.,"I noticed a loud noise near PSC 8208, Box 1219, APO AE 89002.",Thank you for reporting the loud noise. We've logged the location. Stay calm and monitor from a safe distance. Avoid confrontation.
Report the incident with appropriate safety tip.,"I noticed a public disturbance near 93990 Robert Prairie Suite 435, West Randy, SD 39822.",Thank you for reporting the public disturbance. We've logged the location. Observe from a distance and avoid intervening directly.
Report the incident with appropriate safety tip.,"I noticed a pothole near 79911 William Curve, Nicolebury, LA 21177.",Thank you for reporting the pothole. We've logged the location. Avoid driving over the pothole to prevent vehicle damage.
